cancer_type,model,accuracy,mean_prob,n_samples,n_valid
Head and Neck Cancer,qwen3,72.45508982035929,0.9277245508982035,167,167
Head and Neck Cancer,claude-sonnet-37,74.25149700598801,0.8377844311377247,167,167
Head and Neck Cancer,claude-sonnet-45,73.65269461077844,0.7375449101796407,167,167
Head and Neck Cancer,claude-opus-45,75.44910179640718,0.7079640718562874,167,167
Head and Neck Cancer,deepseek,73.05389221556887,0.9008982035928141,167,167
Head and Neck Cancer,deepseek-r1,76.04790419161677,0.7617964071856287,167,167
Head and Neck Cancer,qwen3-vl-235b-a22b,70.05988023952095,0.8140119760479042,167,167
Head and Neck Cancer,AlphaMissense,89.22155688622755,0.9040269461077844,167,167
Renal Cell Carcinoma,gpt-5,85.18518518518519,0.8611851851851852,135,135
Renal Cell Carcinoma,o3-mini,85.92592592592592,0.7827407407407407,135,135
Renal Cell Carcinoma,gpt-4o,70.37037037037037,0.7941999999999999,135,135
Renal Cell Carcinoma,medgemma,74.07407407407408,0.947777777777778,135,135
Renal Cell Carcinoma,qwen3,81.48148148148148,0.9283703703703705,135,135
Renal Cell Carcinoma,claude-sonnet-37,84.44444444444444,0.8691851851851852,135,135
Renal Cell Carcinoma,claude-sonnet-45,77.77777777777779,0.7311111111111112,135,135
Renal Cell Carcinoma,claude-opus-45,85.92592592592592,0.7451851851851853,135,135
Renal Cell Carcinoma,deepseek,81.48148148148148,0.9218518518518519,135,135
Renal Cell Carcinoma,deepseek-r1,76.29629629629629,0.7608888888888888,135,135
Renal Cell Carcinoma,qwen3-vl-235b-a22b,78.51851851851852,0.7710370370370371,135,135
Renal Cell Carcinoma,AlphaMissense,92.5925925925926,0.9340103703703703,135,135
Small Bowel Cancer,gpt-5,83.19327731092437,0.7739495798319328,119,119
Small Bowel Cancer,o3-mini,71.42857142857143,0.6919327731092437,119,119
Small Bowel Cancer,gpt-4o,73.94957983193278,0.7750420168067224,119,119
Small Bowel Cancer,medgemma,57.14285714285714,0.9483193277310924,119,119
Small Bowel Cancer,qwen3,56.30252100840336,0.9382352941176468,119,119
Small Bowel Cancer,claude-sonnet-37,74.78991596638656,0.8278991596638655,119,119
Small Bowel Cancer,claude-sonnet-45,57.14285714285714,0.7260504201680668,119,119
Small Bowel Cancer,claude-opus-45,80.67226890756302,0.6461344537815124,119,119
Small Bowel Cancer,deepseek,56.30252100840336,0.8911764705882349,119,119
Small Bowel Cancer,deepseek-r1,67.22689075630252,0.7352100840336135,119,119
Small Bowel Cancer,qwen3-vl-235b-a22b,56.30252100840336,0.8231932773109243,119,119
Small Bowel Cancer,AlphaMissense,88.23529411764706,0.9122554621848739,119,119
Thyroid Cancer,gpt-5,78.0952380952381,0.8120857142857142,105,105
Thyroid Cancer,o3-mini,80.0,0.7834285714285714,105,105
Thyroid Cancer,gpt-4o,73.33333333333333,0.8156190476190475,105,105
Thyroid Cancer,medgemma,72.38095238095238,0.9419047619047617,105,105
Thyroid Cancer,qwen3,74.28571428571429,0.9433333333333334,105,105
Thyroid Cancer,claude-sonnet-37,70.47619047619048,0.8394285714285714,105,105
Thyroid Cancer,claude-sonnet-45,75.23809523809524,0.7342857142857142,105,105
Thyroid Cancer,claude-opus-45,82.85714285714286,0.7593333333333332,105,105
Thyroid Cancer,deepseek,74.28571428571429,0.9128571428571427,105,105
Thyroid Cancer,deepseek-r1,79.04761904761905,0.7805714285714287,105,105
Thyroid Cancer,qwen3-vl-235b-a22b,75.23809523809524,0.8644761904761904,105,105
Thyroid Cancer,AlphaMissense,85.71428571428571,0.9330180952380951,105,105
Cervical Cancer,gpt-5,81.37254901960785,0.8315686274509805,102,102
Cervical Cancer,o3-mini,72.54901960784314,0.7352941176470589,102,102
Cervical Cancer,gpt-4o,69.6078431372549,0.7933333333333333,102,102
Cervical Cancer,medgemma,66.66666666666666,0.9401960784313724,102,102
Cervical Cancer,qwen3,74.50980392156863,0.9242156862745098,102,102
Cervical Cancer,claude-sonnet-37,77.45098039215686,0.8397058823529412,102,102
Cervical Cancer,claude-sonnet-45,77.45098039215686,0.7004901960784311,102,102
Cervical Cancer,claude-opus-45,78.43137254901961,0.6854901960784311,102,102
Cervical Cancer,deepseek,74.50980392156863,0.8823529411764701,102,102
Cervical Cancer,deepseek-r1,70.58823529411765,0.7330392156862745,102,102
Cervical Cancer,qwen3-vl-235b-a22b,73.52941176470588,0.735294117647059,102,102
Cervical Cancer,AlphaMissense,86.27450980392157,0.9149725490196079,102,102
Mature T and NK Neoplasms,gpt-5,82.4742268041237,0.8571134020618558,97,97
Mature T and NK Neoplasms,o3-mini,81.44329896907216,0.8108247422680411,97,97
Mature T and NK Neoplasms,gpt-4o,72.16494845360825,0.8285567010309276,97,97
Mature T and NK Neoplasms,medgemma,73.19587628865979,0.9438144329896906,97,97
Mature T and NK Neoplasms,qwen3,73.19587628865979,0.9450515463917523,97,97
Mature T and NK Neoplasms,claude-sonnet-37,82.4742268041237,0.8449484536082473,97,97
Mature T and NK Neoplasms,claude-sonnet-45,74.22680412371135,0.7972164948453608,97,97
Mature T and NK Neoplasms,claude-opus-45,86.5979381443299,0.7563917525773195,97,97
Mature T and NK Neoplasms,deepseek,73.19587628865979,0.9231958762886596,97,97
Mature T and NK Neoplasms,deepseek-r1,78.35051546391753,0.801958762886598,97,97
