cancer_type,model,accuracy,mean_prob,n_samples,n_valid
Thyroid Cancer,claude-opus-45,18.894256575415998,0.486784755770263,1863,1863
Renal Cell Carcinoma,GDD-ENS,52.448377581120944,0.693889616519174,1695,1695
Renal Cell Carcinoma,gpt-5,56.873156342182895,0.7200589970501475,1695,1695
Renal Cell Carcinoma,gpt-4o,52.48815165876777,0.7264277251184834,1695,1688
Renal Cell Carcinoma,o3-mini,52.8023598820059,0.84905604719764,1695,1695
Renal Cell Carcinoma,medgemma,33.6283185840708,0.8033333333333332,1695,1695
Renal Cell Carcinoma,qwen3,32.26684819605173,0.8959632402995233,1695,1469
Renal Cell Carcinoma,qwen3-vl-235b-a22b,50.61946902654867,0.7538053097345132,1695,1695
Renal Cell Carcinoma,deepseek,41.67733674775928,0.7630601792573622,1695,1562
Renal Cell Carcinoma,deepseek-r1,53.86430678466076,0.7402300884955751,1695,1695
Renal Cell Carcinoma,claude-sonnet-37,55.634218289085545,0.7297109144542773,1695,1695
Renal Cell Carcinoma,claude-sonnet-45,51.445427728613566,0.7352687536916716,1695,1695
Renal Cell Carcinoma,claude-opus-45,52.56637168141592,0.5943801652892561,1695,1695
Head and Neck Cancer,GDD-ENS,1.6321406151914626,0.48816691776522286,1593,1593
Head and Neck Cancer,gpt-5,32.64281230382925,0.5696672944130572,1593,1593
Head and Neck Cancer,gpt-4o,5.383153894870171,0.6502216592780241,1593,1579
Head and Neck Cancer,o3-mini,14.563716258631512,0.7832580037664784,1593,1593
Head and Neck Cancer,medgemma,0.0,0.771531701192718,1593,1593
Head and Neck Cancer,qwen3,3.9464411557434813,0.8867582804792107,1593,1419
Head and Neck Cancer,qwen3-vl-235b-a22b,2.0715630885122414,0.6694601381042058,1593,1593
Head and Neck Cancer,deepseek,0.06743088334457181,0.7174645987862439,1593,1483
Head and Neck Cancer,deepseek-r1,7.281858129315756,0.6363276836158193,1593,1593
Head and Neck Cancer,claude-sonnet-37,12.994350282485875,0.5863088512241055,1593,1593
