cancer_type,model,precision,mean_prob,n_samples,n_valid
Bone Cancer,qwen3,0.0,0.8964395229982964,660,587
Bone Cancer,qwen3-vl-235b-a22b,0.0,0.7279393939393939,660,660
Bone Cancer,deepseek,0.0,0.7533171521035598,660,618
Bone Cancer,deepseek-r1,1.0,0.6671212121212122,660,660
Bone Cancer,claude-sonnet-37,1.0,0.6385,660,660
Bone Cancer,claude-sonnet-45,1.0,0.6551829268292683,660,660
Bone Cancer,claude-opus-45,1.0,0.4393030303030303,660,660
Mesothelioma,GDD-ENS,1.0,0.5850106489184692,601,601
Mesothelioma,gpt-5,1.0,0.623361064891847,601,601
Mesothelioma,gpt-4o,1.0,0.6812186978297162,601,599
Mesothelioma,o3-mini,1.0,0.8120798668885191,601,601
Mesothelioma,medgemma,1.0,0.7866056572379367,601,601
Mesothelioma,qwen3,1.0,0.8994727272727272,601,550
Mesothelioma,qwen3-vl-235b-a22b,1.0,0.7272212978369385,601,601
Mesothelioma,deepseek,1.0,0.7761946902654866,601,565
Mesothelioma,deepseek-r1,1.0,0.6693011647254575,601,601
Mesothelioma,claude-sonnet-37,1.0,0.6648086522462562,601,601
Mesothelioma,claude-sonnet-45,1.0,0.6550335570469799,601,601
Mesothelioma,claude-opus-45,1.0,0.44971713810316144,601,601
Cervical Cancer,GDD-ENS,0.0,0.5380683673469387,588,588
Cervical Cancer,gpt-5,1.0,0.5899319727891157,588,588
Cervical Cancer,gpt-4o,1.0,0.7101546391752578,588,582
Cervical Cancer,o3-mini,1.0,0.8043877551020406,588,588
Cervical Cancer,medgemma,0.0,0.79421768707483,588,588
Cervical Cancer,qwen3,1.0,0.8932007575757575,588,528
Cervical Cancer,qwen3-vl-235b-a22b,1.0,0.7236439522998296,588,588
Cervical Cancer,deepseek,0.0,0.8204379562043795,588,548
Cervical Cancer,deepseek-r1,1.0,0.6634071550255538,588,588
Cervical Cancer,claude-sonnet-37,1.0,0.6771720613287905,588,588
Cervical Cancer,claude-sonnet-45,0.0,0.6713481228668942,588,588
Cervical Cancer,claude-opus-45,1.0,0.4466269165247019,588,588
Salivary Gland Cancer,GDD-ENS,1.0,0.509985494880546,586,586
Salivary Gland Cancer,gpt-5,1.0,0.5472013651877133,586,586
Salivary Gland Cancer,gpt-4o,1.0,0.6499486301369863,586,584
Salivary Gland Cancer,o3-mini,1.0,0.7747098976109215,586,586
Salivary Gland Cancer,medgemma,0.0,0.781655290102389,586,586
Salivary Gland Cancer,qwen3,1.0,0.8838636363636363,586,528
Salivary Gland Cancer,qwen3-vl-235b-a22b,1.0,0.6585665529010238,586,586
Salivary Gland Cancer,deepseek,0.0,0.7275045537340619,586,549
Salivary Gland Cancer,deepseek-r1,1.0,0.639641638225256,586,586
Salivary Gland Cancer,claude-sonnet-37,1.0,0.5973378839590443,586,586
Salivary Gland Cancer,claude-sonnet-45,1.0,0.5859176672384219,586,586
Salivary Gland Cancer,claude-opus-45,1.0,0.4011945392491468,586,586
Small Cell Lung Cancer,GDD-ENS,1.0,0.5950180811808118,542,542
Small Cell Lung Cancer,gpt-5,1.0,0.617380073800738,542,542
Small Cell Lung Cancer,gpt-4o,1.0,0.6728888888888889,542,540
Small Cell Lung Cancer,o3-mini,1.0,0.8105535055350553,542,542
Small Cell Lung Cancer,medgemma,1.0,0.7578413284132841,542,542
Small Cell Lung Cancer,qwen3,1.0,0.8983541666666665,542,480
Small Cell Lung Cancer,qwen3-vl-235b-a22b,1.0,0.7135055350553506,542,542
Small Cell Lung Cancer,deepseek,0.0,0.7779807692307692,542,520
Small Cell Lung Cancer,deepseek-r1,1.0,0.6743542435424354,542,542
Small Cell Lung Cancer,claude-sonnet-37,1.0,0.6503690036900369,542,542
Small Cell Lung Cancer,claude-sonnet-45,1.0,0.6611645101663586,542,542
Small Cell Lung Cancer,claude-opus-45,1.0,0.43709796672828094,542,542
Gastrointestinal Neuroendocrine Tumor,GDD-ENS,1.0,0.4859673003802282,526,526
Gastrointestinal Neuroendocrine Tumor,gpt-5,1.0,0.6138403041825095,526,526
Gastrointestinal Neuroendocrine Tumor,gpt-4o,1.0,0.6950954198473283,526,524
Gastrointestinal Neuroendocrine Tumor,o3-mini,1.0,0.7941634980988592,526,526
Gastrointestinal Neuroendocrine Tumor,medgemma,1.0,0.8037072243346006,526,526
Gastrointestinal Neuroendocrine Tumor,qwen3,0.0,0.8964549180327869,526,488
Gastrointestinal Neuroendocrine Tumor,qwen3-vl-235b-a22b,1.0,0.7187262357414448,526,526
Gastrointestinal Neuroendocrine Tumor,deepseek,1.0,0.7337953091684435,526,469
Gastrointestinal Neuroendocrine Tumor,deepseek-r1,1.0,0.6619771863117871,526,526
Gastrointestinal Neuroendocrine Tumor,claude-sonnet-37,1.0,0.6432889733840305,526,526
Gastrointestinal Neuroendocrine Tumor,claude-sonnet-45,0.0,0.6360687022900763,526,526
Gastrointestinal Neuroendocrine Tumor,claude-opus-45,1.0,0.4222623574144486,526,526
"Skin Cancer, Non-Melanoma",GDD-ENS,1.0,0.49647730061349693,489,489
"Skin Cancer, Non-Melanoma",gpt-5,1.0,0.6148261758691206,489,489
"Skin Cancer, Non-Melanoma",gpt-4o,1.0,0.6784253578732107,489,489
"Skin Cancer, Non-Melanoma",o3-mini,1.0,0.8053374233128833,489,489
"Skin Cancer, Non-Melanoma",medgemma,0.0,0.7155419222903885,489,489
"Skin Cancer, Non-Melanoma",qwen3,0.0,0.8976419213973797,489,458
"Skin Cancer, Non-Melanoma",qwen3-vl-235b-a22b,0.0,0.7257873210633946,489,489
"Skin Cancer, Non-Melanoma",deepseek,1.0,0.7243820224719101,489,445
"Skin Cancer, Non-Melanoma",deepseek-r1,1.0,0.670715746421268,489,489
"Skin Cancer, Non-Melanoma",claude-sonnet-37,1.0,0.650756646216769,489,489
"Skin Cancer, Non-Melanoma",claude-sonnet-45,1.0,0.6492418032786884,489,489
"Skin Cancer, Non-Melanoma",claude-opus-45,1.0,0.4005316973415132,489,489
Uterine Sarcoma,GDD-ENS,1.0,0.6102697399527186,423,423
Uterine Sarcoma,gpt-5,1.0,0.5919621749408983,423,423
Uterine Sarcoma,gpt-4o,1.0,0.6872037914691944,423,422
Uterine Sarcoma,o3-mini,1.0,0.7948463356973996,423,423
Uterine Sarcoma,medgemma,0.0,0.7985815602836879,423,423
Uterine Sarcoma,qwen3,1.0,0.8976178010471204,423,382
Uterine Sarcoma,qwen3-vl-235b-a22b,1.0,0.7204728132387707,423,423
Uterine Sarcoma,deepseek,1.0,0.822110552763819,423,398
Uterine Sarcoma,deepseek-r1,1.0,0.6520094562647755,423,423
Uterine Sarcoma,claude-sonnet-37,1.0,0.6481560283687943,423,423
Uterine Sarcoma,claude-sonnet-45,1.0,0.6517061611374407,423,423
Uterine Sarcoma,claude-opus-45,1.0,0.4059810874704492,423,423
Peripheral Nervous System,GDD-ENS,1.0,0.5633141439205955,403,403
Peripheral Nervous System,gpt-5,1.0,0.6422580645161291,403,403
Peripheral Nervous System,gpt-4o,1.0,0.7041457286432161,403,398
Peripheral Nervous System,o3-mini,1.0,0.8085359801488833,403,403
Peripheral Nervous System,medgemma,0.0,0.7952853598014888,403,403
Peripheral Nervous System,qwen3,0.0,0.9001156069364161,403,346
Peripheral Nervous System,qwen3-vl-235b-a22b,0.0,0.7148883374689825,403,403
Peripheral Nervous System,deepseek,0.0,0.7608870967741934,403,372
Peripheral Nervous System,deepseek-r1,1.0,0.657196029776675,403,403
Peripheral Nervous System,claude-sonnet-37,1.0,0.6488833746898263,403,403
Peripheral Nervous System,claude-sonnet-45,1.0,0.6242786069651741,403,403
Peripheral Nervous System,claude-opus-45,1.0,0.42330024813895784,403,403
Germ Cell Tumor,GDD-ENS,1.0,0.5597682926829268,369,369
Germ Cell Tumor,gpt-5,1.0,0.643929539295393,369,369
Germ Cell Tumor,gpt-4o,1.0,0.6983791208791209,369,364
Germ Cell Tumor,o3-mini,1.0,0.80710027100271,369,369
Germ Cell Tumor,medgemma,1.0,0.7899728997289973,369,369
Germ Cell Tumor,qwen3,1.0,0.8931914893617021,369,329
Germ Cell Tumor,qwen3-vl-235b-a22b,1.0,0.7103252032520324,369,369
Germ Cell Tumor,deepseek,1.0,0.7526785714285714,369,336
Germ Cell Tumor,deepseek-r1,1.0,0.6590785907859078,369,369
Germ Cell Tumor,claude-sonnet-37,1.0,0.6530352303523035,369,369
Germ Cell Tumor,claude-sonnet-45,1.0,0.6436512261580382,369,369
Germ Cell Tumor,claude-opus-45,1.0,0.414390243902439,369,369
Anal Cancer,GDD-ENS,0.0,0.5261205673758865,282,282
Anal Cancer,gpt-5,0.0,0.5968439716312057,282,282
Anal Cancer,gpt-4o,0.0,0.7026950354609929,282,282
Anal Cancer,o3-mini,0.0,0.8036170212765956,282,282
Anal Cancer,medgemma,0.0,0.7891843971631206,282,282
Anal Cancer,qwen3,0.0,0.8883805668016193,282,247
Anal Cancer,qwen3-vl-235b-a22b,0.0,0.7197163120567375,282,282
Anal Cancer,deepseek,0.0,0.7858490566037736,282,265
Anal Cancer,deepseek-r1,0.0,0.6476950354609929,282,282
Anal Cancer,claude-sonnet-37,0.0,0.6752836879432624,282,282
Anal Cancer,claude-sonnet-45,0.0,0.6555319148936171,282,282
Anal Cancer,claude-opus-45,0.0,0.43134751773049645,282,282
Sex Cord Stromal Tumor,GDD-ENS,1.0,0.649373076923077,182,182
Sex Cord Stromal Tumor,gpt-5,1.0,0.757142857142857,182,182
Sex Cord Stromal Tumor,gpt-4o,1.0,0.721508379888268,182,179
Sex Cord Stromal Tumor,o3-mini,1.0,0.8667032967032967,182,182
Sex Cord Stromal Tumor,medgemma,1.0,0.8131868131868132,182,182
Sex Cord Stromal Tumor,qwen3,1.0,0.9003592814371258,182,167
Sex Cord Stromal Tumor,qwen3-vl-235b-a22b,1.0,0.749065934065934,182,182
Sex Cord Stromal Tumor,deepseek,1.0,0.8008620689655174,182,174
Sex Cord Stromal Tumor,deepseek-r1,1.0,0.7585164835164836,182,182
Sex Cord Stromal Tumor,claude-sonnet-37,1.0,0.6662087912087912,182,182
Sex Cord Stromal Tumor,claude-sonnet-45,1.0,0.6735164835164835,182,182
Sex Cord Stromal Tumor,claude-opus-45,1.0,0.568076923076923,182,182
Thymic Tumor,GDD-ENS,1.0,0.44281802325581393,172,172
Thymic Tumor,gpt-5,0.0,0.5602906976744186,172,172
Thymic Tumor,gpt-4o,0.0,0.6512790697674419,172,172
Thymic Tumor,o3-mini,0.0,0.7761046511627906,172,172
Thymic Tumor,medgemma,0.0,0.7880813953488371,172,172
Thymic Tumor,qwen3,0.0,0.890194805194805,172,154
Thymic Tumor,qwen3-vl-235b-a22b,0.0,0.6731395348837209,172,172
Thymic Tumor,deepseek,0.0,0.696875,172,160
Thymic Tumor,deepseek-r1,0.0,0.6440116279069767,172,172
Thymic Tumor,claude-sonnet-37,0.0,0.6012790697674418,172,172
Thymic Tumor,claude-sonnet-45,0.0,0.5697058823529412,172,172
Thymic Tumor,claude-opus-45,0.0,0.387093023255814,172,172
Adrenocortical Carcinoma,GDD-ENS,1.0,0.5164716981132076,159,159
Adrenocortical Carcinoma,gpt-5,1.0,0.6016352201257862,159,159
Adrenocortical Carcinoma,gpt-4o,1.0,0.7015189873417722,159,158
Adrenocortical Carcinoma,o3-mini,1.0,0.80062893081761,159,159
