cancer_type,model,f1,mean_prob,n_samples,n_valid
Mesothelioma,qwen3-vl-235b-a22b,0.2680115273775216,0.7272212978369385,601,601
Mesothelioma,deepseek,0.1566068515497553,0.7761946902654866,601,565
Mesothelioma,deepseek-r1,0.455012853470437,0.6693011647254575,601,601
Mesothelioma,claude-sonnet-37,0.393048128342246,0.6648086522462562,601,601
Mesothelioma,claude-sonnet-45,0.40794701986754967,0.6550335570469799,601,601
Mesothelioma,claude-opus-45,0.5925058548009368,0.44971713810316144,601,601
Cervical Cancer,GDD-ENS,0.0,0.5380683673469387,588,588
Cervical Cancer,gpt-5,0.17107309486780714,0.5899319727891157,588,588
Cervical Cancer,gpt-4o,0.04697986577181208,0.7101546391752578,588,582
Cervical Cancer,o3-mini,0.030150753768844216,0.8043877551020406,588,588
Cervical Cancer,medgemma,0.0,0.79421768707483,588,588
Cervical Cancer,qwen3,0.003780718336483932,0.8932007575757575,588,528
Cervical Cancer,qwen3-vl-235b-a22b,0.006779661016949152,0.7236439522998296,588,588
Cervical Cancer,deepseek,0.0,0.8204379562043795,588,548
Cervical Cancer,deepseek-r1,0.046511627906976744,0.6634071550255538,588,588
Cervical Cancer,claude-sonnet-37,0.020202020202020204,0.6771720613287905,588,588
Cervical Cancer,claude-sonnet-45,0.0,0.6713481228668942,588,588
Cervical Cancer,claude-opus-45,0.016863406408094434,0.4466269165247019,588,588
Salivary Gland Cancer,GDD-ENS,0.20520673813169985,0.509985494880546,586,586
Salivary Gland Cancer,gpt-5,0.030252100840336135,0.5472013651877133,586,586
Salivary Gland Cancer,gpt-4o,0.010221465076660987,0.6499486301369863,586,584
Salivary Gland Cancer,o3-mini,0.01692047377326565,0.7747098976109215,586,586
Salivary Gland Cancer,medgemma,0.0,0.781655290102389,586,586
Salivary Gland Cancer,qwen3,0.011299435028248588,0.8838636363636363,586,528
Salivary Gland Cancer,qwen3-vl-235b-a22b,0.013559322033898305,0.6585665529010238,586,586
Salivary Gland Cancer,deepseek,0.0,0.7275045537340619,586,549
Salivary Gland Cancer,deepseek-r1,0.02027027027027027,0.639641638225256,586,586
Salivary Gland Cancer,claude-sonnet-37,0.03355704697986577,0.5973378839590443,586,586
Salivary Gland Cancer,claude-sonnet-45,0.010186757215619695,0.5859176672384219,586,586
