cancer_type,model,recall,mean_prob,n_samples,n_valid
Renal Cell Carcinoma,medgemma,0.336283185840708,0.8033333333333332,1695,1695
Renal Cell Carcinoma,qwen3,0.32266848196051734,0.8959632402995233,1695,1469
Renal Cell Carcinoma,qwen3-vl-235b-a22b,0.5061946902654867,0.7538053097345132,1695,1695
Renal Cell Carcinoma,deepseek,0.4167733674775928,0.7630601792573622,1695,1562
Renal Cell Carcinoma,deepseek-r1,0.5386430678466076,0.7402300884955751,1695,1695
Renal Cell Carcinoma,claude-sonnet-37,0.5563421828908555,0.7297109144542773,1695,1695
Renal Cell Carcinoma,claude-sonnet-45,0.5144542772861357,0.7352687536916716,1695,1695
Renal Cell Carcinoma,claude-opus-45,0.5256637168141592,0.5943801652892561,1695,1695
Head and Neck Cancer,GDD-ENS,0.016321406151914627,0.48816691776522286,1593,1593
Head and Neck Cancer,gpt-5,0.32642812303829255,0.5696672944130572,1593,1593
Head and Neck Cancer,gpt-4o,0.05383153894870171,0.6502216592780241,1593,1579
Head and Neck Cancer,o3-mini,0.14563716258631512,0.7832580037664784,1593,1593
Head and Neck Cancer,medgemma,0.0,0.771531701192718,1593,1593
Head and Neck Cancer,qwen3,0.03946441155743481,0.8867582804792107,1593,1419
Head and Neck Cancer,qwen3-vl-235b-a22b,0.02071563088512241,0.6694601381042058,1593,1593
Head and Neck Cancer,deepseek,0.0006743088334457181,0.7174645987862439,1593,1483
Head and Neck Cancer,deepseek-r1,0.07281858129315756,0.6363276836158193,1593,1593
Head and Neck Cancer,claude-sonnet-37,0.12994350282485875,0.5863088512241055,1593,1593
Head and Neck Cancer,claude-sonnet-45,0.09792843691148775,0.5979321181646763,1593,1593
Head and Neck Cancer,claude-opus-45,0.14500941619585686,0.39459798994974876,1593,1593
CNS Cancer,GDD-ENS,0.36077481840193704,0.5291193704600484,1239,1239
CNS Cancer,gpt-5,0.43664245359160614,0.6447780468119451,1239,1239
CNS Cancer,gpt-4o,0.08624898291293735,0.6898047192839707,1239,1229
CNS Cancer,o3-mini,0.22114608555286522,0.8173365617433412,1239,1239
CNS Cancer,medgemma,0.0774818401937046,0.7658192090395479,1239,1239
CNS Cancer,qwen3,0.00804289544235925,0.886988382484361,1239,1119
CNS Cancer,qwen3-vl-235b-a22b,0.0008071025020177562,0.7103793381759483,1239,1239
CNS Cancer,deepseek,0.0055658627087198514,0.788682745825603,1239,1078
CNS Cancer,deepseek-r1,0.05084745762711865,0.6416061339790153,1239,1239
CNS Cancer,claude-sonnet-37,0.011299435028248588,0.6716707021791768,1239,1239
CNS Cancer,claude-sonnet-45,0.031476997578692496,0.6448778501628665,1239,1239
CNS Cancer,claude-opus-45,0.020984665052461663,0.41948345439870866,1239,1239
Gastrointestinal Stromal Tumor,GDD-ENS,0.7733333333333333,0.7778963555555555,1125,1125
Gastrointestinal Stromal Tumor,gpt-5,0.8746666666666667,0.8429066666666667,1125,1125
Gastrointestinal Stromal Tumor,gpt-4o,0.7298747763864043,0.7934704830053666,1125,1118
Gastrointestinal Stromal Tumor,o3-mini,0.8337777777777777,0.8843822222222222,1125,1125
Gastrointestinal Stromal Tumor,medgemma,0.39466666666666667,0.8359555555555556,1125,1125
Gastrointestinal Stromal Tumor,qwen3,0.5068359375,0.9177734374999998,1125,1024
Gastrointestinal Stromal Tumor,qwen3-vl-235b-a22b,0.6871111111111111,0.819351111111111,1125,1125
Gastrointestinal Stromal Tumor,deepseek,0.5935984481086324,0.8310863239573228,1125,1031
Gastrointestinal Stromal Tumor,deepseek-r1,0.8506666666666667,0.84256,1125,1125
Gastrointestinal Stromal Tumor,claude-sonnet-37,0.8382222222222222,0.8189155555555555,1125,1125
Gastrointestinal Stromal Tumor,claude-sonnet-45,0.7733333333333333,0.7998843416370106,1125,1125
Gastrointestinal Stromal Tumor,claude-opus-45,0.8204444444444444,0.6788444444444444,1125,1125
Bone Cancer,GDD-ENS,0.593939393939394,0.6296965151515151,660,660
Bone Cancer,gpt-5,0.07121212121212121,0.6100757575757575,660,660
Bone Cancer,gpt-4o,0.0183206106870229,0.6941679389312977,660,655
Bone Cancer,o3-mini,0.05606060606060606,0.8056818181818182,660,660
Bone Cancer,medgemma,0.007575757575757576,0.775530303030303,660,660
Bone Cancer,qwen3,0.0,0.8964395229982964,660,587
Bone Cancer,qwen3-vl-235b-a22b,0.0,0.7279393939393939,660,660
Bone Cancer,deepseek,0.0,0.7533171521035598,660,618
Bone Cancer,deepseek-r1,0.019696969696969695,0.6671212121212122,660,660
Bone Cancer,claude-sonnet-37,0.030303030303030304,0.6385,660,660
Bone Cancer,claude-sonnet-45,0.025757575757575757,0.6551829268292683,660,660
Bone Cancer,claude-opus-45,0.00909090909090909,0.4393030303030303,660,660
Mesothelioma,GDD-ENS,0.4176372712146423,0.5850106489184692,601,601
Mesothelioma,gpt-5,0.27121464226289516,0.623361064891847,601,601
Mesothelioma,gpt-4o,0.15525876460767946,0.6812186978297162,601,599
Mesothelioma,o3-mini,0.3194675540765391,0.8120798668885191,601,601
Mesothelioma,medgemma,0.0016638935108153079,0.7866056572379367,601,601
Mesothelioma,qwen3,0.09454545454545454,0.8994727272727272,601,550
Mesothelioma,qwen3-vl-235b-a22b,0.15474209650582363,0.7272212978369385,601,601
Mesothelioma,deepseek,0.08495575221238938,0.7761946902654866,601,565
Mesothelioma,deepseek-r1,0.2945091514143095,0.6693011647254575,601,601
Mesothelioma,claude-sonnet-37,0.24459234608985025,0.6648086522462562,601,601
Mesothelioma,claude-sonnet-45,0.2562396006655574,0.6550335570469799,601,601
Mesothelioma,claude-opus-45,0.4209650582362729,0.44971713810316144,601,601
Cervical Cancer,GDD-ENS,0.0,0.5380683673469387,588,588
Cervical Cancer,gpt-5,0.0935374149659864,0.5899319727891157,588,588
Cervical Cancer,gpt-4o,0.024054982817869417,0.7101546391752578,588,582
Cervical Cancer,o3-mini,0.015306122448979591,0.8043877551020406,588,588
Cervical Cancer,medgemma,0.0,0.79421768707483,588,588
Cervical Cancer,qwen3,0.001893939393939394,0.8932007575757575,588,528
Cervical Cancer,qwen3-vl-235b-a22b,0.003401360544217687,0.7236439522998296,588,588
Cervical Cancer,deepseek,0.0,0.8204379562043795,588,548
Cervical Cancer,deepseek-r1,0.023809523809523808,0.6634071550255538,588,588
Cervical Cancer,claude-sonnet-37,0.01020408163265306,0.6771720613287905,588,588
Cervical Cancer,claude-sonnet-45,0.0,0.6713481228668942,588,588
Cervical Cancer,claude-opus-45,0.008503401360544218,0.4466269165247019,588,588
Salivary Gland Cancer,GDD-ENS,0.11433447098976109,0.509985494880546,586,586
Salivary Gland Cancer,gpt-5,0.015358361774744027,0.5472013651877133,586,586
Salivary Gland Cancer,gpt-4o,0.005136986301369863,0.6499486301369863,586,584
Salivary Gland Cancer,o3-mini,0.008532423208191127,0.7747098976109215,586,586
Salivary Gland Cancer,medgemma,0.0,0.781655290102389,586,586
Salivary Gland Cancer,qwen3,0.005681818181818182,0.8838636363636363,586,528
Salivary Gland Cancer,qwen3-vl-235b-a22b,0.006825938566552901,0.6585665529010238,586,586
Salivary Gland Cancer,deepseek,0.0,0.7275045537340619,586,549
Salivary Gland Cancer,deepseek-r1,0.010238907849829351,0.639641638225256,586,586
Salivary Gland Cancer,claude-sonnet-37,0.017064846416382253,0.5973378839590443,586,586
Salivary Gland Cancer,claude-sonnet-45,0.005119453924914676,0.5859176672384219,586,586
Salivary Gland Cancer,claude-opus-45,0.006825938566552901,0.4011945392491468,586,586
Small Cell Lung Cancer,GDD-ENS,0.2029520295202952,0.5950180811808118,542,542
Small Cell Lung Cancer,gpt-5,0.1900369003690037,0.617380073800738,542,542
Small Cell Lung Cancer,gpt-4o,0.005555555555555556,0.6728888888888889,542,540
Small Cell Lung Cancer,o3-mini,0.14391143911439114,0.8105535055350553,542,542
Small Cell Lung Cancer,medgemma,0.0018450184501845018,0.7578413284132841,542,542
Small Cell Lung Cancer,qwen3,0.11875,0.8983541666666665,542,480
Small Cell Lung Cancer,qwen3-vl-235b-a22b,0.033210332103321034,0.7135055350553506,542,542
Small Cell Lung Cancer,deepseek,0.0,0.7779807692307692,542,520
Small Cell Lung Cancer,deepseek-r1,0.1863468634686347,0.6743542435424354,542,542
Small Cell Lung Cancer,claude-sonnet-37,0.05166051660516605,0.6503690036900369,542,542
